what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed command: monitor speed 30",1452725927679
error,log,,,"Failed command: monitor reset",1452725927781
error,log,,,"Failed command: monitor sleep 10",1452725927883
error,log,,,"Failed command: monitor reg cpsr = 0xd3",1452725927985
error,log,,,"Failed command: monitor cp15 7, 7, 0, 0 = 0x0",1452725928089
error,log,,,"Failed command: monitor cp15 8, 7, 0, 0 = 0x0",1452725928192
error,log,,,"Failed command: monitor cp15 1, 0, 0, 0 =0x1002",1452725928294
error,log,,,"Failed command: monitor cp15 15, 2, 0, 4 = 0x70000013",1452725928397
error,log,,,"Failed command: monitor MemU32 0x7e004000  =  0x00000000",1452725928499
error,log,,,"Failed command: monitor sleep 10",1452725928602
error,log,,,"Failed command: monitor MemU32 0x71200014  =  0x00000000",1452725928704
error,log,,,"Failed command: monitor MemU32 0x71300014  =  0x00000000",1452725928806
error,log,,,"Failed command: monitor MemU32 0x7120000C  =  0x00000000",1452725928908
error,log,,,"Failed command: monitor MemU32 0x7130000C  =  0x00000000",1452725929011
error,log,,,"Failed command: monitor MemU32 0x71200F00  =  0x00000000",1452725929118
error,log,,,"Failed command: monitor MemU32 0x71300F00  =  0x00000000",1452725929223
error,log,,,"Failed command: monitor MemU32 0x7e00f900  =  0x0000801e",1452725929326
error,log,,,"Failed command: monitor MemU32 0x7e00f000  =  0x0000ffff",1452725929428
error,log,,,"Failed command: monitor MemU32 0x7e00f004  =  0x0000ffff",1452725929530
error,log,,,"Failed command: monitor MemU32 0x7e00f020  =  0x01043310",1452725929632
error,log,,,"Failed command: monitor MemU32 0x7e00f00C  =  0xc2150601",1452725929737
error,log,,,"Failed command: monitor MemU32 0x7e00f010  =  0xc2150601",1452725929839
error,log,,,"Failed command: monitor MemU32 0x7e00f024  =  0x00000003",1452725929942
error,log,,,"Failed command: monitor MemU32 0x7e00f014  =  0x00200102",1452725930044
error,log,,,"Failed command: monitor MemU32 0x7e00f018  =  0x00000000",1452725930146
error,log,,,"Failed command: monitor MemU32 0x7e00f01C  =  0x14000007",1452725930250
error,log,,,"Failed command: monitor MemU32 0x7e00f120  =  0x00000008",1452725930352
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000004",1452725930453
error,log,,,"Failed command: monitor MemU32 0x7e001010  =  0x0000040f",1452725930555
error,log,,,"Failed command: monitor MemU32 0x7e001014  =  0x00000006",1452725930657
error,log,,,"Failed command: monitor MemU32 0x7e001018  =  0x00000001",1452725930761
error,log,,,"Failed command: monitor MemU32 0x7e00101c  =  0x00000002",1452725930863
error,log,,,"Failed command: monitor MemU32 0x7e001020  =  0x00000006",1452725930966
error,log,,,"Failed command: monitor MemU32 0x7e001024  =  0x0000000a",1452725931068
error,log,,,"Failed command: monitor MemU32 0x7e001028  =  0x0000000c",1452725931170
error,log,,,"Failed command: monitor MemU32 0x7e00102c  =  0x0000018f",1452725931271
error,log,,,"Failed command: monitor MemU32 0x7e001030  =  0x0000000c",1452725931374
error,log,,,"Failed command: monitor MemU32 0x7e001034  =  0x00000002",1452725931477
error,log,,,"Failed command: monitor MemU32 0x7e001038  =  0x00000002",1452725931578
error,log,,,"Failed command: monitor MemU32 0x7e00103c  =  0x00000002",1452725931680
error,log,,,"Failed command: monitor MemU32 0x7e001040  =  0x00000002",1452725931783
error,log,,,"Failed command: monitor MemU32 0x7e001044  =  0x00000013",1452725931885
error,log,,,"Failed command: monitor MemU32 0x7e001048  =  0x00000013",1452725931986
error,log,,,"Failed command: monitor MemU32 0x7e00100C  =  0x00010012",1452725932088
